title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CURRENT INTELLIGENCE BULLETIN - 1952/07/17,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02685623,RIPPUB,U,8,"June 6, 2019","June 27, 2019",,,"July 17, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652956%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/07/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169491,RIPPUB,U,14,"January 27, 2020","January 30, 2020",,,"July 5, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777366%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/02/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03161989,RIPPUB,U,11,"December 12, 2019","December 20, 2019",,,"February 5, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755714%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/06/15,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001360,RIPPUB,U,10,"August 20, 2019","August 30, 2019",,,"June 15, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689501%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/10/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02970160,RIPPUB,U,8,"July 15, 2019","July 22, 2019",,,"October 23, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677458%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/01/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03015200,RIPPUB,U,16,"January 27, 2020","January 30, 2020",,,"January 23, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772340%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/10/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02051072,RIPPUB,U,7,"June 6, 2019","June 27, 2019",,,"October 19, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653066%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/06/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001356,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"June 10, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689418%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/11/24,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03003746,RIPPUB,U,8,"July 15, 2019","July 22, 2019",,,"November 24, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677490%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/06/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03192935,RIPPUB,U,19,"January 27, 2020","January 30, 2020",,,"June 2, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772499%5D.pdf
