collection,cibid,pubdate,file,cibbody,date,id,body,url,folder,title,_merge,year
Current/Central Intelligence Bulletin Collection,3175206,"February 28, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587356%5D.pdf,"- Approved for Release: 2019/03/14 C03175206

 

 

~
- | Ak
28 February 1951
- 3.3(h)(2)
Copy No. ¢ (-9
CURRENT INTELLIGENCE BULLETIN
3.5(c)

 

 

BOCUMENT NO.

feo CANGE IN CLASS. [-f:z a",2/28/51,CIA-RDP79T00975A000100190001-9,Approved Fori?ease,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100190001-9,/meta-53200,CURRENT INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682857,"March 2, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587384%5D.pdf," 

3.5(c)
Approved for Release: 2019/03/14 C02682857

""",3/2/51,CIA-RDP79T00975A000100210001-6,"iy ILLEGIB

L,/ L Approved FogBelease 2%$I§E§mDP79T0097W001 00210001-6
l",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100210001-6,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682858,"March 3, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587393%5D.pdf," 

Approved for Release: 2019/03/14 C02682858

 

 

 

3 March 1951

 

Copy No. c.i-9 3-5(c)

CURRENT INTELLIGENCE BULLETIN

 

 

 

 

2y
DOCUMENT NO. ""

NO CHANGE IN CLASS. Yo T
BECLASSIFIED

-oih '\quJTo 15 &5

  

 

 

 

 

HEXT ATy
?.qul m 7 ",3/3/51,CIA-RDP79T00975A000100220001-5," 

",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100220001-5,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682859,"March 4, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587412%5D.pdf,"Approved for Release: 2019/03/14 C02682859

W { W

4 March 1951

Copy No. &4 -7

CURRENT INTELLIGENCE BULLETIN

 

 

 

 

HANGE M oLass. ) -

DOCUMENT.ING. - {

    

FiED g

e

 

GEe o
-
{

5 ¢ QTG T3 ¢

[T RE
AUTH, HRT70-2

pate) L1 n.?REVJEWEF",3/4/51,CIA-RDP79T00975A000100230001-4,"o Approved For Release 20'06@1@% c??-fowefr'oowsAoooW

4 March 1951

 

 

 

 

 

 

 

 

 
 

 

 

 

 

 

Copy No. &/ -7
25X1
CURRENT INTELLIGENCE BULLETIN
25X1
DOCUMENTNO. ,Zj{ -
RO CHANGE IM GLASS. )
Criae LH)_:V X ~
CLASG, CHANCED TS, 73 5 O
ekt rEvien care G0
KUTH: HR 703 - *",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100230001-4,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682860,"March 6, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587380%5D.pdf," 

Approved for Release: 2019/03/14 C02682860 W

TOP SEGRET

6 March 1951

L ]
Copy No. ¢ (-9

CURRENT INTELLIGENCE BULLETIN -

 

 

 

DOCUMENT NO. : -",3/6/51,CIA-RDP79T00975A000100240001-3," 

- 0P SECRE

- ,;i/ - Approved RQLReleasg 2004/07/ CIA-RDP79TO0WA000100",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100240001-3,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682861,"March 7, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587352%5D.pdf,"Approyed for Release: 2019/03/14 C02682861 : s

/",3/7/51,CIA-RDP79T00975A000100250001-2,"V Approved Fo?élease 2004/01/16 : CIA- RDP79T0097M000100250001 g-/ G o % s

/,..., o

T TOP SEGRET o

 

 

 

 

 

 

 

 

 

 

 

 

 

: 7 March 1951 ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100250001-2,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682862,"March 8, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587357%5D.pdf,"Approved for Release: 2019/03/14 C02682862

o

EHetpeenl

b

 

- o
WKET/ 3.5(c)

8 March 1951
3.5(c)
Copy No. C1-9

 

 

 

CURRENT INTELLIGENCE BULLETIN 2",3/8/51,CIA-RDP79T00975A000100260001-1,"EAetpeenl

T0P SECRET

8 March 1951

 

 

 

 

Copy No. Ci-

 

¢ ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100260001-1,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3175207,"March 9, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587347%5D.pdf,"Approved for Release: 2019/03/14 C03175207 .
v v »f"" ¥ 5",3/9/51,,,,,,master only (1),1951
Current/Central Intelligence Bulletin Collection,2682863,"March 10, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587398%5D.pdf,"(- (=l (ST

A p e
- Approved for Release: 2019/03/14 C02682863 folet @te o
! ",3/10/51,CIA-RDP79T00975A000100280001-9,- ?,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100280001-9,/meta-54600,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3175208,"March 11, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587344%5D.pdf,"Approved for Release: 2019/03/14 C03175208

Ion o
P LT

11 March 1951

Copy No., &1

CURRENT INTELLIGENCE BUL

 

Reod

 

e

 

 

 

 

 

 

 

Office of Cu: rent Invelligence

CENTRAL INTELLK:ENCE AGENCY

 

 

 

 

Approved for Release: 2019/03/14 C03175208

& B ",3/11/51,CIA-RDP79T00975A000100290001-8,"Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8
Thn ooy
P e

11 March 1951

 

 

 

 

Lopy No, &7

CURRENT INTELLIGENCE BULLETIN }/

 

Reod

 

s

 

 

 

 

25X1

 

 

 

Office of Cu: rent Invelligence

CENTRAL INTELLIGENCE AGENCY

 

25X1

 

 

 

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8

BT A

25X1
x0c 

25)erpRrov1d For Release 2003/10/15 : CIA-RDP79T00975A0001(10290001-8

 

SUMMARY

GENERAL

 

 

 

 

2. Unsettled conditions widespread in Asia (page 4).

 

 

 

 

25X1A

 

 

 

 

25X1A

 

 

 

 

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8

25X1
x0c25X1 Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8

 

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8
x0c 

.
= * 2A53§)1r£\ved For Release 2003/10/15 : CIA-RDP79T00975A000100R90001-8

 

 

 

2. Unsettled conditions widespread in Asia:

 

 

 

 

-
The period from 7 to 9 March was marked ., _ e
by a series of unsettling events in Asia. T

25X1A Iranian Premier Razmara was assassinated ... ..
: on 7 March; the Turkish Cabinet resigned on wwprer=

- | 8 March, the Syrian Cabinet on 9 March; the ~+FI7*>""
Pakistan Government announced on 9 March e

- the discovery and suppression of a military

 

_ - plot to seize control; and the Thai Govern-

| ment, on the same date, was reported to be taking action against the

- v ringleaders of a coup attempt. In addition, over the weekend of 2-5
March, general Moslem criticism of recent French actions in Morocco
was voiced all the way from Africa (particularly Egypt) to Indonesia.

 

 

Comment: 25X1

 

 

 

 

. | The near-simultaneous occurrence of THESE TVENTS
| throughout a large part of Asia is suggestive of more than coincidence.
- There is, however, no evidence of Communist involvement in the in-
cidents except in Pakistan, where one of the four persons arrested

has been outspokenly pro-Communist, and possibly in Thailand. The
significance of the situation appears to rest primarily in the almost
unparalleled opportunity for Communist exploitation of such widesprcud
- simultaneous unrest. Reports from Iran indicate that such exploitation
is already in progress there.

25X1A

 

 

 

 

25X1A

 

 

 

 

A

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8
x0c25X1 Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8

Next 1 Page(s) In Document Exempt

 

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100290001-8
x0c",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100290001-8,/meta-53200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
